name,artist,positive,neutral,negative,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
My Love Is Your Love,Whitney Houston,0,1,0,6vc2Jq2vaGu8z326kSrw92,0.826,0.612,1,-3.891,1,0.0982,0.00681,0,0.0889,0.756,120.057
Monday Morning,Pulp,1,0,0,0qjfjKFoP7LaqLI2KI9M1Q,0.607,0.567,0,-15.728,1,0.0302,0.00177,0.000151,0.212,0.858,106.495
Mon Amour,Thomas Lemmer,0,1,0,5wkkDv2Pnf0DGmwXMc1uCb,0.649,0.044,7,-26.498,1,0.245,0.996,0.969,0.133,0.783,134.445
Think for Yourself,The Beatles,1,0,0,64bKVrkaXQAKx04dLHqCNz,0.529,0.567,0,-9.796,1,0.0282,0.0124,0,0.0729,0.799,130.544
Dracula's Wedding,OutKast,1,0,0,2EFHXO4zJRitZLpE1ztsWO,0.771,0.649,10,-6.91,0,0.0497,0.296,0.000238,0.147,0.661,101.934
Open Your Eyes,Eric Roberson,1,0,0,0xxm1WskKZSCvbkGjkSMr2,0.67,0.756,0,-4.299,0,0.0322,0.00549,0.599,0.152,0.402,129.988
Callin' U,Outlandish,0,0,2,07dRjnkeSazozZ16S07Nee,0.484,0.407,9,-10.709,0,0.104,0.317,0,0.103,0.369,139.23
Ageispolis,Aphex Twin,0,2,0,7KRQoq9GeWeCm0ZAXg5XMb,0.645,0.393,6,-17.543,0,0.043,0.00903,0.89,0.364,0.441,101.757
All The Things That Go To Make Heaven And Earth,The New Pornographers,1,0,0,02Yz60gPergGhGxfOfbve8,0.526,0.978,6,-4.105,1,0.0428,0.304,0.000217,0.267,0.941,152.548
Sandusky,Uncle Tupelo,1,0,0,0rib9hiYy1NWL0w8BUYgmd,0.525,0.594,4,-14.033,0,0.0907,0.161,0.949,0.0751,0.0703,157.917
Michael a Grammar,Broadcast,1,1,0,5y97NLx4XGFy4x5LK8wYjr,0.372,0.632,7,-9.535,1,0.0505,0.274,0.134,0.155,0.777,131.409
Vanity Fair,Brightboy,1,0,0,6JKi3iWIe2KBcF13UCAjLC,0.355,0.99,2,-2.091,1,0.199,0.00279,0,0.289,0.466,129.047
I'm Alright,Kenny Loggins,1,0,0,1GoUkWEssQGaV0Qzt3eLlP,0.792,0.481,4,-6.812,1,0.072,0.189,5.91e-06,0.0916,0.483,118.341
Tell it to My Heart,Taylor Dayne,1,0,0,3YVPpVJvJG2EauXurPA90F,0.638,0.988,1,-5.042,1,0.0921,0.0302,1.16e-05,0.371,0.723,117.955
Brown Eyes,Lady Gaga,0,1,1,0hy1SOTEn9ifXTzOwnCwEr,0.589,0.658,11,-5.288,0,0.203,0.0242,0,0.118,0.251,77.521
Sæglópur,Sigur Rós,0,1,0,3OAf2iksV6MRLzqtUglTDq,0.303,0.48,9,-7.998,1,0.0288,0.0453,0.838,0.481,0.0779,102.102
Nature Boy,Quadro Nuevo,1,0,0,2WMyu5IYgxEuCd6xgFgJrl,0.203,0.0895,2,-19.755,0,0.0404,0.971,0.0213,0.108,0.115,173.451
No Doubt About It,Hot Chocolate,0,2,0,2iehL6Q3m5NUDanDT2IKwT,0.621,0.469,4,-10.438,1,0.0267,0.22,3.34e-05,0.067,0.511,144.665
Evidence,Faith No More,0,1,0,3XWJmOczrthTfGdoT3FvNS,0.42,0.785,7,-5.608,1,0.0322,0.00947,0,0.0919,0.317,139.932
The Patch,Shinichi Osawa,0,0,1,5xQryMkcUZt2129uIOUfee,0.575,0.0311,7,-26.449,1,0.218,0.996,0.969,0.112,0.76,74.875
When Horsepower Meant What It Said,Sandi Thom,1,0,0,2zW8l7maYN01SDfcjeGlcR,0.715,0.689,4,-6.131,1,0.0612,0.0148,7.13e-06,0.119,0.89,105.014
Rollercoaster,Everything But The Girl,0,2,1,5L95vS64rG1YMIFm1hLjyZ,0.421,0.79,10,-6.227,1,0.0538,0.00205,0.000309,0.148,0.279,162.024
Reality,RMB,2,0,0,1aRSdvKuD2ZAkkNxWX8WSK,0.144,0.0028,5,-33.697,1,0.0474,0.937,0.877,0.108,0.208,77.314
Come Feel the Sun,Tindersticks,0,0,1,1boB4tIIwdefeoQVHNG5Jl,0.408,0.544,8,-10.117,1,0.0337,0.635,2.62e-06,0.0832,0.593,153.024
Tired Hands,K.C. Accidental,0,1,0,771ytEVqniWBbylDR4kCeo,0.588,0.174,7,-18.176,0,0.038,0.889,0.948,0.132,0.465,82.294
Fast Lane,Macaco,1,0,0,6gXrEUzibufX9xYPk3HD5p,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535
